url,titulo,precio,moneda,monto,barrio,dormitorios,banios,metros_cuadrados,gastos_comunes,tipo_propiedad,referencia,descripcion
https://www.infocasas.com.uy/alquiler-apartamento-1-dormitorio-amueblado-a-estrenar-y-con-garaje-punta-carretas-oda/193837553,"Alquiler apartamento, 1 dormitorio, amueblado, a estrenar y con garaje, Punta Carretas, ODA",U$S 1.350,U$S,1350,Punta Carretas,1,1,40,$ 4.700,Apartamento,P16467,"Alquiler apartamento, 1 dormitorio, amueblado, a estrenar y con garaje, Punta Carretas, ODA Ubicado sobre Bulevar Artigas, en el corazón de Punta Carretas, uno de los barrios más emblemáticos de la ciudad, nace ODA, como una alegoría a la arquitectura y el diseño de primer nivel. Un edificio donde la luz juega un papel central en la composición arquitectónica. Esta unidad posee 40 m2 de interiores. Superficie APPCU 52 m2. El apartamento se desarrolla en un luminoso living comedor con biblioteca y cocina integrada. Cuenta con barra, heladera, horno, anafe y campana incluidos. Tiene un dormitorio con placard, un baño completo y área de lavadero. Cuenta con garaje para un auto y muebles. AMENITIES - Piscina con solarium. - Gimnasio equipado. - Rooftop con barbacoa, parrillero interior y exterior, y estar con estufa a leña. TERMINACIONES - Losa radiante eléctrica sectorizada con termostato. - Aberturas color negro línea Gala o similar. - DVH con control térmico selectivo. - Cerraduras digitales. - Vanity en todos los apartamentos. - Mesada de silestone o similar. - Grifería de primer nivel. - Aire acondicionado tipo inverter. - Diseño paisajístico integrado. - Calefón. SERVICIOS - Estacionamiento de bicicletas. - Laundry con tender en rooftop. - Espacio de reciclaje de residuos. - Package room en planta baja para recepción de envíos. - Seguridad con CCTV. GARAJES - Previsión para boxes y cargadores de autos eléctricos. Gastos comunes estimados: $4.700 mensuales. En Sures Bienes Raíces, nos especializamos en el desarrollo de modernos edificios de apartamentos en Punta Carretas, diseñados para ofrecer lujo y confort. Nuestra experiencia en el mercado inmobiliario nos permite brindar excelentes oportunidades de inversión inmobiliaria en Uruguay. Somos un equipo confiable y serio que busca la mejor inversión para vos, con un enfoque humano y personalizado en cada proyecto. Confía en nosotros para encontrar la propiedad ideal que se ajuste a tus necesidades. . Caracteristicas: BOX, GARAJE, LAVADERO, LIVING COMEDOR, LAUNDRY, LOSA RADIANTE, PLACARD EN COCINA, PLACARD EN DORMITORIO, PORTERIA, SEGURIDAD, COCINA, VIGILANCIA, CALEFON XINTEL (SRS-SRS-12733)"
https://www.infocasas.com.uy/alquiler-1-dormitorio-parrillero-shangrila/193675089,Alquiler 1 Dormitorio Parrillero Shangrila,$ 36.000,$,36000,Shangrilá,1,1,45,$ 5.700,Apartamento,E4F6A0,"(Disponible desde 15 de Julio)<br /> <br /> Disfrutá de la tranquilidad de Ciudad de la Costa (Shangrila) en un complejo moderno, seguro y con una conectividad inmejorable.<br /> <br /> Ubicado sobre Av. Artigas, a pasos de la rambla y con todos los servicios a mano.<br /> A solo 5 minutos de Carrasco y a pasos del Costa Urbana Shopping.<br /> Un entorno residencial rodeado de verde, colegios y centros deportivos.<br /> <br /> Unidad en alquiler en 3er piso, vistas despejadas y muy luminoso.<br /> Orientación este, sol directo por las mañanas.<br /> <br /> Living comedor con cocina integrada completamente equipada (horno, anafe y campana incluidos).<br /> Terraza con vistas despejadas y parrillero.<br /> Dormitorio con escritorio y placard de buena capacidad de almacenamiento.<br /> <br /> Espacios luminosos con terminaciones de alta calidad y aberturas DVH (aislación térmica y acústica).<br /> <br /> Cochera techada de fácil acceso para 1 vehiculo.<br /> <br /> Gastos comunes: $5700 aprox.<br /> <br /> Amenities y Servicios del edificio:<br /> -Seguridad: Complejo cercado con control de acceso y vigilancia.<br /> -Naturaleza: Amplio parque privado de 1.500 m² con jardines y fogones.<br /> -Rooftop: Dos Barbacoas (SUM) de uso común con vistas despejadas y solárium.<br /> -Trabajo y Relax: Espacio de Coworking y área fitness al aire libre.<br /> -Comodidad: Laundry (lavadero), estacionamiento de cortesía y zona Bike Friendly..<br /> <br /> ¡Coordina tu visita y estrena tu nuevo hogar! Referencia Interna : Tera-847"
https://www.infocasas.com.uy/alquiler-apartamento-punta-carretas-1-dormitorio-garaje/193541560,ALQUILER APARTAMENTO PUNTA CARRETAS 1 DORMITORIO GARAJE,$ 40.000,$,40000,Punta Carretas,1,1,39,$ 6.500,Apartamento,ECDC76,"ALQUILER APARTAMENTO EN PUNTA CARRETAS UN DORMITORIO, TERRAZA Y GARAJE.<br>Apartamento a estrenar en muy buen lugar muy próximo a servicios.<br>Apartamento al frente en edificio bajo con muy buena terraza con vista despejada y luminoso.<br>Living comedor cómodo con aire acondicionado instalado, postigones en madera y salida a terraza cómoda.<br>Cocina integrada con una barra separadora con anafe, campana y horno y muy buen lugar de guardado.<br>Un dormitorio cómodo con postigornes en madera, aire acondicionado instalado, placard amplio y salida a terraza.<br>Baño completo con mampara instalada.<br>Placard lavadero con conexión para lavarropa y calefón.&nbsp;<br>Garaje lugar fijo.<br>Edificio con barbacoas de uso común, gimnasio y lavadero.<br>Garantías unicamente aseguradora<br>No acepta mascotas&nbsp;"
https://www.infocasas.com.uy/alquiler-de-apartamento-de-1-dormitorio-planta-baja-carrasco-norte/193555203,"Alquiler de apartamento de 1 dormitorio, planta baja- Carrasco Norte",$ 24.500,$,24500,Carrasco Norte,1,1,31,$ 2.000,Apartamento,UEADB0,"CARRASCO NORTE <br><br>LANCASTERIANA ESQUINA MÁXIMO TAJES<br><br>Excelente ubicación, sobre Lancasteriana a&nbsp; metros de Av. Italia, con excelente conectividad y acceso a múltiples líneas de transporte. A ocho cuadras de&nbsp; Av.Arocena.&nbsp;&nbsp;En sus proximidades se destacan importantes clubes, servicios y áreas comerciales.&nbsp;Una opción ideal tanto para vivienda como para inversión, combinando entorno tranquilo con cercanía a todos los servicios.<br><br>Unidad 2318/05<br><br>Apartamento de un dormitorio ubicado&nbsp; en&nbsp; complejo residencial de 13 unidades desarrolladas en planta baja. Situado&nbsp; en un entorno residencial caracterizado por su tranquilidad y abundante arbolado.<br><br>Cuenta&nbsp; con orientación norte&nbsp; y disposición lateral, lo que favorece una buena&nbsp;ventilación e iluminación natural.&nbsp;<br><br>Alquiler&nbsp; : $ 24.500<br><br>Living comedor<br><br>Cocina con bajo mesada<br><br>Un dormitorio<br><br>Baño&nbsp; en suite<br><br>Área construida: 31.48 m²<br><br>Gastos comunes aproximados : $ 2.000 (incluye OSE, UTE de espacios comunes, mantenimiento de sanitaria, limpieza de espacios comunes y honorarios de administración)<br><br>Tipos de garantía que acepta: Porto Seguros, Sura, Mapfre, Berkley, Sancor, Anda Contaduría<br><br>La edificación desarrollada totalmente en una planta&nbsp; se constituye de 8 apartamentos de un dormitorio, dos de ellos al frente cuentan con estacionamientos, 4 monoambientes y&nbsp; al fondo un apartamento tipo casa&nbsp; que cuenta con patio.<br><br>Actualmente se están realizando obras&nbsp;unidades, fachada y&nbsp; áreas comunes&nbsp; de la edificación.<br><br>Comisión Inmobiliaria equivale a un mes de alquiler + IVA&nbsp;<br><br>Para coordinar visitas llamar de 10: 00 a 18:00 hs a los teléfonos ***o ***<br><br>Quedamos a las órdenes<br><br>Pérez Robaudo Inmobiliaria<br><br>Tel/Fax ***<br><br>Cel. ***<br><br>Av. 18 de julio 1322 esq. Ejido<br><br>Montevideo – Uruguay"
https://www.infocasas.com.uy/alquiler-apartamento-pocitos-1-dormitorio-con-patio-y-parrillero/193573938,Alquiler Apartamento Pocitos 1 Dormitorio con patio y parrillero.,$ 30.000,$,30000,Pocitos,1,1,50,$ 6.500,Apartamento,F54B58,"Se ofrece en alquiler apartamento de un dormitorio en Pocitos con cocina definida y patio con parrillero. Esta propiedad está ubicada en un primer piso al contrafrente.<br>Cuenta con 50 metros cuadrados de área edificados más 30 mts. de patio, ofreciendo un espacio cómodo y funcional. <br>Tiene living comedor , 1 dormitorio cómodo con placar ,cocina semi integrada y baño completo. El apartamento se encuentra en muy buen estado de conservación.<br>Dispone de conexiones para gas y calefacción eléctrica individual, permitiendo un control personalizado del ambiente.<br>Entre sus comodidades destacan aire acondicionados, cortinas, espacio para lavarropa y calefón.<br>El edificio cuenta con 2 barbacoas cerradas en el piso 11 y solárium.<br>La cercanía a importantes vías de acceso facilita la movilidad hacia otras zonas de la ciudad. <br>En cuanto a servicios, la zona cuenta con una amplia oferta de comercios, supermercados, restaurantes, cafeterías y centros de estudio, <br>(CW247788)"
https://www.infocasas.com.uy/apartamento-en-alquiler-c-cochera-en-pocitos-nuevo/193947562,Apartamento en alquiler c/ cochera en Pocitos Nuevo,$ 39.000,$,39000,Pocitos Nuevo,1,1,42,$ 6.900,Apartamento,G92FD9,"Hermoso apartamento en alquiler en el corazón de Pocitos Nuevo, a tan solo metros de la playa. Este atractivo inmueble cuenta con una disposición al frente y una orientacion norte que ofrece una vista despejada y abundante luz natural. Con una superficie total de 50 m², de los cuales 42 m² son cubiertos y 8 m² descubiertos, el apartamento incluye un cómodo dormitorio y un elegante baño. Equipado con aire acondicionado tanto en el living como en el dormitorio, la cocina es completa, con bajo mesada, mueble aéreo, anafe, horno empotrado y campana. Además, cuenta con un calefón y un balcón ideal para disfrutar del entorno.<br><br>El edificio se destaca por su seguridad virtual y portería, brindando tranquilidad a sus residentes. Entre sus impresionantes amenidades se encuentran una piscina climatizada con nado contra corriente, sauna, sala de juegos con mesa de pool y muro de escalar. Para los amantes del deporte, dispone de un gimnasio de 80 m² completamente equipado, área de masajes, parque de calistenia, cancha de fútbol-tenis y fútbol fusión. Además, ofrece dos parrilleros y un garaje de acceso cómodo para mayor conveniencia. Con gastos comunes de UY$6.900 y apto para uso profesional, esta propiedad representa una excelente oportunidad para vivir en un entorno privilegiado, donde el confort y la calidad de vida se encuentran en cada rincón.<br>"
https://www.infocasas.com.uy/apartamentos-en-peninsula/192939619,Apartamentos en Península,U$S 5.000,U$S,5000,Península,1,1,0,,Apartamento,F15709,"Apartamento en Península - Punta del Este Unidad de 1 Dormitorios 1 Baños Cocina : Kitchinette, Living Comedor Consulte con nuestros asesores. Ref: 2564T. Whatsapp Ventas y Alquileres ***"
https://www.infocasas.com.uy/alquiler-apartamento-de-1-dormitorio-y-garaje-a-estrenar-en-puertito-de-buceo/193027180,Alquiler apartamento de 1 dormitorio y garaje a estrenar en Puertito de Buceo,U$S 1.100,U$S,1100,Pocitos,1,1,48,$ 10.000,Apartamento,R162FA,"Gran oportunidad de alquiler de Apartamento con garaje a estrenar de 1 dormitorio y garaje en COSMOS Home<br><br>Ubicado en una zona estratégica, a pasos de World Trade Center y Puertito del Buceo. <br><br>Apartamento de amplios espacios e iluminación natural con orientación Norte, cocina semi integrada, con placares bajo mesada y muebles aéreos que proporcionan gran capacidad de guardado. Totalmente equipada; horno, anafe, campana, lavavajillas, calefón, heladera y freezer empotrados en la carpintería de la cocina con lo que se logra un acabado estético y moderno. Sala amplia con gran puerta ventana de doble vidrios DVH y salida a terraza, dormitorio muy iluminado y espacioso, con placares de puertas corredizas y salida a terraza por amplia puerta ventana. Baño completo con extractor, calefón y mampara. <br><br>Aires acondicionados multi Split en todos los ambientes y loza radiante eléctrica. Portero eléctrico con videocámara y servicio de portería presencial. Cómoda plaza de garaje.<br><br>El edificio cuenta con portería presencial, gimnasio totalmente equipado con vista panorámica al puertito del buceo. Wellness room. Salón de Eventos. Dos Grill Experience. Sala Gourmet. Co Work con sala de reuniones. Multiespacios en varios sectores para disfrutar a cielo abierto. Laundry en subsuelo.<br><br>Garantía: Aseguradoras - NO admite mascota<br><br>No dude en consultar y agendar una visita<br><br><br><b>REF: P002448</b>"
https://www.infocasas.com.uy/alquilamos-apartamento-en-el-golf-con-garage/193857930,Alquilamos apartamento en el Golf con garage,$ 38.500,$,38500,Golf,1,1,50,$ 7.000,Apartamento,SF361EA,"Alquilamos apartamento en excelente estado en el Golf con Garage. Al entrar a la unidad, a la derecha nos encontramos con un baño completo, totalmente nuevo y a la izquierda una cocina definida. La misma cuenta con anafe, horno y extractor. Se encuentra toda terminada en acero inoxidable. Si seguimos recorriendo esta unidad pasamos al dormitorio, el cual es muy amplio y cuenta con placard, persiana eléctrica y losa radiante. Por último pasamos al espacio mas lindo de este apartamento. Un enorme living, con salida a un balcón de un considerable tamaño al frente, el mismo cuenta con aire acondicionado. El edificio cuenta con gym, sauna y barbacoa. Ademas cuenta con porteria diurna entre otras cosas. Algunos aspectos a destacar. - Garage - Losa radiante - Pisos de madera - Dimensiones Gastos Comunes: $7.000 Garantías: Aseguradoras o deposito en banco hipotecario No dude en consultarnos cualquier duda o para coordinar su visita! Honorarios de la inmobiliaria: 1 mes de alquiler _______________________________________________________________ Renom Propiedades"
https://www.infocasas.com.uy/departamento-en-punta-carretas/193586266,Departamento en Punta Carretas,$ 40.500,$,40500,Punta Carretas,1,1,60,,Apartamento,XD8719,Espectacular tríplex en pleno Punta Carretas!<br><br>La unidad forma parte de un edificio de diseño y consta de 2 pisos con una terraza parrillero de uso exclusivo en la azotea.<br><br>En la primera planta se encuentra un muy amplio y luminoso living comedor con techos altos y ventanales de piso a techo. Además una cocina integrada con horno campana y anafe eléctricos pronta para recibir invitados de la mejor manera posible.<br><br>En la segunda planta el dormitorio principal de buenas dimensiones con placares y baño completo se integra de gran manera al ambiente del apartamento.<br><br>El punto mas fuerte de esta propiedad se encuentra en la ultima planta a la cual se accede desde dentro de la unidad y consta de una terraza de 30m2 con parrillero propio.<br><br>La unidad cuenta ademas con aire acondicionado<br><br>No te pierdas esta unidad pronta para ingresar!<br><br>SPOT REAL ESTATE<br><br>Los precios publicados no incluyen la comisión inmobiliaria (3%+iva) escribano ni ITP.
