tipo,url,motivo
listado,https://www.infocasas.com.uy/alquiler/inmuebles/1-dormitorio/pagina18,descarga fallida
detalle,https://www.infocasas.com.uy/d/angelo-apartamento-en-alquiler-en-aguada-planta-baja-reciclado-a-nuevo/193909710,descarga fallida
